FEN_from,FEN_to,count
rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R b KQkq -,r1bqkb1r/ppp2ppp/2n1pn2/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq -,1
rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/2N1P3/PP3PPP/R1BQKBNR b KQkq -,rnbqkb1r/pp3ppp/2p1pn2/3p4/2PP4/2N1P3/PP3PPP/R1BQKBNR w KQkq -,1
rnbqkb1r/ppp2ppp/4pn2/3p4/2P5/4PN2/PP1P1PPP/RNBQKB1R w KQkq -,rnbqkb1r/ppp2ppp/4pn2/3p4/2P5/1P2PN2/P2P1PPP/RNBQKB1R b KQkq -,1
rnbqkb1r/ppp2ppp/4pn2/3p4/2P5/1P3N2/PB1PPPPP/RN1QKB1R b KQkq -,rnbqk2r/ppp1bppp/4pn2/3p4/2P5/1P3N2/PB1PPPPP/RN1QKB1R w KQkq -,1
rnbqkb1r/ppp2ppp/4pn2/3p4/2P5/1P3N2/P2PPPPP/RNBQKB1R w KQkq -,rnbqkb1r/ppp2ppp/4pn2/3p4/2P5/1P3N2/PB1PPPPP/RN1QKB1R b KQkq -,1
rnbqkb1r/ppp2ppp/4pn2/3p4/2P5/1P2PN2/P2P1PPP/RNBQKB1R b KQkq -,rnbqk2r/ppp1bppp/4pn2/3p4/2P5/1P2PN2/P2P1PPP/RNBQKB1R w KQkq -,1
rnbqkb1r/ppp2ppp/4pn2/3p2B1/3PP3/2N5/PPP2PPP/R2QKBNR b KQkq -,rnbqkb1r/ppp2pp1/4pn1p/3p2B1/3PP3/2N5/PPP2PPP/R2QKBNR w KQkq -,1
rnbqkb1r/ppp2ppp/4pn2/3p2B1/3P4/8/PPPNPPPP/R2QKBNR w KQkq -,rnbqkb1r/ppp2ppp/4pn2/3p2B1/3P4/4P3/PPPN1PPP/R2QKBNR b KQkq -,1
rnbqkb1r/ppp2ppp/4pn2/3p2B1/3P4/5N2/PPPNPPPP/R2QKB1R b KQkq -,rnbqk2r/ppp1bppp/4pn2/3p2B1/3P4/5N2/PPPNPPPP/R2QKB1R w KQkq -,1
rnbqkb1r/ppp2ppp/4pn2/3p2B1/3P4/5N2/PPP1PPPP/RN1QKB1R w KQkq -,rnbqkb1r/ppp2ppp/4pn2/3p2B1/3P4/5N2/PPPNPPPP/R2QKB1R b KQkq -,1
rnbqkb1r/ppp2ppp/4pn2/3p2B1/3P4/5N2/PPP1PPPP/RN1QKB1R w KQkq -,rnbqkb1r/ppp2ppp/4pn2/3p2B1/3P4/4PN2/PPP2PPP/RN1QKB1R b KQkq -,1
rnbqkb1r/ppp2ppp/4pn2/3p2B1/3P4/4PN2/PPP2PPP/RN1QKB1R b KQkq -,rnbqkb1r/pp3ppp/4pn2/2pp2B1/3P4/4PN2/PPP2PPP/RN1QKB1R w KQkq -,1
rnbqkb1r/ppp2ppp/4pn2/3p2B1/3P4/4P3/PPPN1PPP/R2QKBNR b KQkq -,rnbqk2r/ppp2ppp/3bpn2/3p2B1/3P4/4P3/PPPN1PPP/R2QKBNR w KQkq -,1
rnbqkb1r/ppp2ppp/4pn2/3p2B1/3P4/4P3/PPPN1PPP/R2QKBNR b KQkq -,rnbqk2r/ppp1bppp/4pn2/3p2B1/3P4/4P3/PPPN1PPP/R2QKBNR w KQkq -,1
rnbqkb1r/ppp2ppp/4pn2/3p2B1/3P4/4P3/PPP2PPP/RN1QKBNR w KQkq -,rnbqkb1r/ppp2ppp/4pn2/3p2B1/3P4/4P3/PPPN1PPP/R2QKBNR b KQkq -,1
rnbqkb1r/ppp2ppp/4pn2/3p2B1/2PP4/5N2/PP2PPPP/RN1QKB1R b KQkq -,r1bqkb1r/pppn1ppp/4pn2/3p2B1/2PP4/5N2/PP2PPPP/RN1QKB1R w KQkq -,1
rnbqkb1r/ppp2ppp/4pn2/3p2B1/2PP4/2N5/PP2PPPP/R2QKBNR b KQkq -,rnbqkb1r/pp3ppp/2p1pn2/3p2B1/2PP4/2N5/PP2PPPP/R2QKBNR w KQkq -,1
rnbqkb1r/ppp2ppp/3p1n2/8/3NP3/5P2/PPP3PP/RNBQKB1R b KQkq -,rnbqk2r/ppp1bppp/3p1n2/8/3NP3/5P2/PPP3PP/RNBQKB1R w KQkq -,1
rnbqkb1r/ppp2ppp/3p1n2/8/2PQ4/2N5/PP2PPPP/R1B1KBNR w KQkq -,rnbqkb1r/ppp2ppp/3p1n2/8/2PQ4/1PN5/P3PPPP/R1B1KBNR b KQkq -,1
rnbqkb1r/ppp2ppp/3p1n2/8/2PQ4/1PN5/P3PPPP/R1B1KBNR b KQkq -,r1bqkb1r/ppp2ppp/2np1n2/8/2PQ4/1PN5/P3PPPP/R1B1KBNR w KQkq -,1
rnbqkb1r/ppp2ppp/3p1n2/8/2PPp3/2N2N2/PP2PPPP/R1BQKB1R w KQkq -,rnbqkb1r/ppp2ppp/3p1n2/6N1/2PPp3/2N5/PP2PPPP/R1BQKB1R b KQkq -,1
rnbqkb1r/ppp2pp1/3p1p1p/8/3P4/2N1P3/PPP2PPP/R2QKBNR b KQkq -,rn1qkb1r/pppb1pp1/3p1p1p/8/3P4/2N1P3/PPP2PPP/R2QKBNR w KQkq -,1
rnbqkb1r/ppp2pp1/3p1n1p/4p3/2PPPP2/2N5/PP4PP/R1BQKBNR w KQkq -,rnbqkb1r/ppp2pp1/3p1n1p/4p3/2PPPP2/2N2N2/PP4PP/R1BQKB1R b KQkq -,1
rnbqkb1r/ppp2p1p/5pp1/8/2pP4/4P3/PP3PPP/RN1QKBNR w KQkq -,rnbqkb1r/ppp2p1p/5pp1/8/2BP4/4P3/PP3PPP/RN1QK1NR b KQkq -,1
rnbqkb1r/ppp2p1p/5pp1/3p4/3P4/6P1/PPP1PPBP/RN1QK1NR b KQkq -,rnbqkb1r/pp3p1p/2p2pp1/3p4/3P4/6P1/PPP1PPBP/RN1QK1NR w KQkq -,1
rnbqkb1r/ppp2p1p/5pp1/3p4/3P4/6P1/PPP1PP1P/RN1QKBNR w KQkq -,rnbqkb1r/ppp2p1p/5pp1/3p4/3P4/6P1/PPP1PPBP/RN1QK1NR b KQkq -,1
rnbqkb1r/ppp2p1p/5pp1/3p4/3P4/4P3/PPP2PPP/RN1QKBNR w KQkq -,rnbqkb1r/ppp2p1p/5pp1/3p4/2PP4/4P3/PP3PPP/RN1QKBNR b KQkq -,1
rnbqkb1r/ppp2p1p/5pp1/3p4/2PP4/4P3/PP3PPP/RN1QKBNR b KQkq -,rnbqkb1r/ppp2p1p/5pp1/8/2pP4/4P3/PP3PPP/RN1QKBNR w KQkq -,1
rnbqkb1r/ppp2p1p/4pp2/8/3P4/8/PPP2PPP/R1BQKBNR w KQkq -,rnbqkb1r/ppp2p1p/4pp2/8/3P4/5N2/PPP2PPP/R1BQKB1R b KQkq -,1
rnbqkb1r/ppp2p1p/3pp1p1/4P2n/2PP4/2N5/PP3PPP/R1BQKBNR w KQkq -,rnbqkb1r/ppp2p1p/3pp1p1/4P2n/2PP2P1/2N5/PP3P1P/R1BQKBNR b KQkq -,1
rnbqkb1r/ppp2p1p/3p2p1/5p2/2PP4/6P1/PP2PP1P/RN1QKBNR w KQkq -,rnbqkb1r/ppp2p1p/3p2p1/5p2/2PP4/2N3P1/PP2PP1P/R2QKBNR b KQkq -,1
rnbqkb1r/ppp2p1p/3p1np1/8/3pP3/2N1BP2/PPP3PP/R2QKBNR w KQkq -,rnbqkb1r/ppp2p1p/3p1np1/8/3QP3/2N1BP2/PPP3PP/R3KBNR b KQkq -,1
rnbqkb1r/ppp2p1p/3p1np1/8/2PQ4/6P1/PP2PPBP/RNB1K1NR w KQkq -,rnbqkb1r/ppp2p1p/3p1np1/8/2PQ4/2N3P1/PP2PPBP/R1B1K1NR b KQkq -,1
rnbqkb1r/ppp2p1p/3p1np1/4p3/3PP3/2N1BP2/PPP3PP/R2QKBNR b KQkq -,rnbqkb1r/ppp2p1p/3p1np1/8/3pP3/2N1BP2/PPP3PP/R2QKBNR w KQkq -,1
rnbqkb1r/ppp2p1p/3p1np1/4p3/3PP3/2N1B3/PPP2PPP/R2QKBNR w KQkq -,rnbqkb1r/ppp2p1p/3p1np1/4p3/3PP3/2N1BP2/PPP3PP/R2QKBNR b KQkq -,1
rnbqkb1r/ppp2p1p/3p1np1/4p3/2P5/2N3P1/PP1PPPBP/R1BQK1NR w KQkq -,rnbqkb1r/ppp2p1p/3p1np1/4p3/2P5/2N2NP1/PP1PPPBP/R1BQK2R b KQkq -,1
rnbqkb1r/ppp2p1p/3p1np1/4p3/2P5/2N2NP1/PP1PPPBP/R1BQK2R b KQkq -,rnbqk2r/ppp2pbp/3p1np1/4p3/2P5/2N2NP1/PP1PPPBP/R1BQK2R w KQkq -,1
rnbqkb1r/ppp2p1p/3p1np1/3Pp3/4P3/5P2/PPP3PP/RNBQKBNR w KQkq -,rnbqkb1r/ppp2p1p/3p1np1/3Pp3/2P1P3/5P2/PP4PP/RNBQKBNR b KQkq -,1
rnbqkb1r/ppp2p1p/3p1np1/3Pp3/2P1P3/5P2/PP4PP/RNBQKBNR b KQkq -,rnbqk2r/ppp2pbp/3p1np1/3Pp3/2P1P3/5P2/PP4PP/RNBQKBNR w KQkq -,1
rnbqkb1r/ppp2Npp/3p1n2/8/4P3/8/PPPP1PPP/RNBQKB1R b KQkq -,rnbq1b1r/ppp2kpp/3p1n2/8/4P3/8/PPPP1PPP/RNBQKB1R w KQ -,1
rnbqkb1r/ppp1pppp/8/3p4/3PnB2/8/PPP1PPPP/RN1QKBNR w KQkq -,rnbqkb1r/ppp1pppp/8/3p4/3PnB2/5P2/PPP1P1PP/RN1QKBNR b KQkq -,1
rnbqkb1r/ppp1pppp/8/3p4/3PnB2/5P2/PPP1P1PP/RN1QKBNR b KQkq -,rnbqkb1r/ppp1pppp/5n2/3p4/3P1B2/5P2/PPP1P1PP/RN1QKBNR w KQkq -,1
rnbqkb1r/ppp2pp1/3p1p1p/8/3P4/2N5/PPP1PPPP/R2QKBNR w KQkq -,rnbqkb1r/ppp2pp1/3p1p1p/8/3P4/2N1P3/PPP2PPP/R2QKBNR b KQkq -,1
rnbqkb1r/ppp2pp1/3ppn1p/8/2PPP3/2N5/PP3PPP/R1BQKBNR w KQkq -,rnbqkb1r/ppp2pp1/3ppn1p/8/2PPPP2/2N5/PP4PP/R1BQKBNR b KQkq -,1
rnbqkb1r/ppp2pp1/3ppn1p/8/2PPPP2/2N5/PP4PP/R1BQKBNR b KQkq -,rnbqkb1r/ppp2pp1/3p1n1p/4p3/2PPPP2/2N5/PP4PP/R1BQKBNR w KQkq -,1
rnbqkb1r/ppp2ppp/3p1n2/4p3/2B1P3/2NP4/PPP2PPP/R1BQK1NR b KQkq -,rnbqkb1r/pp3ppp/2pp1n2/4p3/2B1P3/2NP4/PPP2PPP/R1BQK1NR w KQkq -,1
rnbqkb1r/ppp2ppp/3p1n2/8/2N1P3/8/PPPP1PPP/RNBQKB1R b KQkq -,rnbqkb1r/ppp2ppp/3p4/8/2N1n3/8/PPPP1PPP/RNBQKB1R w KQkq -,1
rnbqkb1r/ppp2ppp/3p1n2/6N1/2PPp3/8/PP2PPPP/RNBQKB1R w KQkq -,rnbqkb1r/ppp2ppp/3p1n2/6N1/2PPp3/2N5/PP2PPPP/R1BQKB1R b KQkq -,1
rnbqkb1r/ppp2ppp/3p1n2/4p3/4PP2/2N5/PPPP2PP/R1BQKBNR w KQkq -,rnbqkb1r/ppp2ppp/3p1n2/4p3/4PP2/2N2N2/PPPP2PP/R1BQKB1R b KQkq -,1
rnbqkb1r/ppp2ppp/3p1n2/4p3/4PP2/2N2N2/PPPP2PP/R1BQKB1R b KQkq -,r1bqkb1r/pppn1ppp/3p1n2/4p3/4PP2/2N2N2/PPPP2PP/R1BQKB1R w KQkq -,1
rnbqkb1r/ppp2ppp/3p1n2/4p3/3PP3/5P2/PPP3PP/RNBQKBNR w KQkq -,rnbqkb1r/ppp2ppp/3p1n2/4P3/4P3/5P2/PPP3PP/RNBQKBNR b KQkq -,1
rnbqkb1r/ppp2ppp/3p1n2/4p3/3PP3/2PB4/PP3PPP/RNBQK1NR b KQkq -,rnbqkb1r/ppp2ppp/5n2/3pp3/3PP3/2PB4/PP3PPP/RNBQK1NR w KQkq -,1
rnbqkb1r/ppp2ppp/3p1n2/4p3/2PP4/2N2N2/PP2PPPP/R1BQKB1R b KQkq -,rnbqkb1r/ppp2ppp/3p1n2/8/2PPp3/2N2N2/PP2PPPP/R1BQKB1R w KQkq -,1
rnbqkb1r/ppp2ppp/3p1n2/4p3/2P5/6P1/PP1PPPBP/RNBQK1NR w KQkq -,rnbqkb1r/ppp2ppp/3p1n2/4p3/2P5/2N3P1/PP1PPPBP/R1BQK1NR b KQkq -,1
rnbqkb1r/ppp2ppp/3p1n2/4p3/2P5/2N3P1/PP1PPPBP/R1BQK1NR b KQkq -,rnbqkb1r/ppp2p1p/3p1np1/4p3/2P5/2N3P1/PP1PPPBP/R1BQK1NR w KQkq -,1
rnbqkb1r/ppp2ppp/3p1n2/4p3/2B1P3/2NP4/PPP2PPP/R1BQK1NR b KQkq -,rnbqk2r/ppp1bppp/3p1n2/4p3/2B1P3/2NP4/PPP2PPP/R1BQK1NR w KQkq -,1
rnbqkb1r/ppp2pp1/4pB1p/3p4/3PP3/2N5/PPP2PPP/R2QKBNR b KQkq -,rnb1kb1r/ppp2pp1/4pq1p/3p4/3PP3/2N5/PPP2PPP/R2QKBNR w KQkq -,1
rnbqkb1r/ppp2ppp/3p1n2/4P3/4P3/5P2/PPP3PP/RNBQKBNR b KQkq -,rnbqkb1r/ppp2ppp/5n2/4p3/4P3/5P2/PPP3PP/RNBQKBNR w KQkq -,1
rnbqkb1r/ppp2ppp/3p1n2/4N3/4P3/8/PPPP1PPP/RNBQKB1R w KQkq -,rnbqkb1r/ppp2ppp/3p1n2/8/2N1P3/8/PPPP1PPP/RNBQKB1R b KQkq -,1
rnbqkb1r/ppp2ppp/3p1n2/4N3/4P3/8/PPPP1PPP/RNBQKB1R w KQkq -,rnbqkb1r/ppp2Npp/3p1n2/8/4P3/8/PPPP1PPP/RNBQKB1R b KQkq -,1
rnbqkb1r/ppp2ppp/3p1n2/3Pp3/4P3/5P2/PPP3PP/RNBQKBNR b KQkq -,rnbqkb1r/ppp2p1p/3p1np1/3Pp3/4P3/5P2/PPP3PP/RNBQKBNR w KQkq -,1
rnbqkb1r/ppp2ppp/3p1n2/3Pp3/4P3/5P2/PPP3PP/RNBQKBNR b KQkq -,rnbqk2r/ppp1bppp/3p1n2/3Pp3/4P3/5P2/PPP3PP/RNBQKBNR w KQkq -,1
rnbqkb1r/ppp2ppp/1n2p3/8/3PP3/5N2/PP3PPP/RNBQKB1R w KQkq -,rnbqkb1r/ppp2ppp/1n2p3/8/3PP3/3B1N2/PP3PPP/RNBQK2R b KQkq -,1
rnbqkb1r/ppp2ppp/1n1p4/8/2PP4/8/PP3PPP/RNBQKBNR w KQkq -,rnbqkb1r/ppp2ppp/1n1p4/8/2PP4/5N2/PP3PPP/RNBQKB1R b KQkq -,1
rnbqkb1r/ppp2ppp/1n1p4/8/2PP4/8/PP3PPP/RNBQKBNR w KQkq -,rnbqkb1r/ppp2ppp/1n1p4/8/2PP4/2N5/PP3PPP/R1BQKBNR b KQkq -,1
rnbqkb1r/ppp2pp1/4pn1p/3p2B1/3PP3/2N5/PPP2PPP/R2QKBNR w KQkq -,rnbqkb1r/ppp2pp1/4pB1p/3p4/3PP3/2N5/PPP2PPP/R2QKBNR b KQkq -,1
rnbqkb1r/ppp1pp2/3p1npp/8/3PP2B/2N5/PPP2PPP/R2QKBNR b KQkq -,rnbqk2r/ppp1ppb1/3p1npp/8/3PP2B/2N5/PPP2PPP/R2QKBNR w KQkq -,1
rnbqkb1r/ppp1pp1p/6p1/8/4P3/2n2N2/PP1P1PPP/R1BQKB1R w KQkq -,rnbqkb1r/ppp1pp1p/6p1/8/4P3/2P2N2/PP3PPP/R1BQKB1R b KQkq -,1
rnbqkbnr/1ppppppp/p7/8/3PP3/8/PPP2PPP/RNBQKBNR b KQkq -,rnbqkbnr/2pppppp/p7/1p6/3PP3/8/PPP2PPP/RNBQKBNR w KQkq -,1
rnbqkb1r/pp3ppp/4pn2/3p2B1/2Pp4/2N2N2/PP2PPPP/R2QKB1R w KQkq -,rnbqkb1r/pp3ppp/4pn2/3p2B1/2PQ4/2N2N2/PP2PPPP/R3KB1R b KQkq -,1
rnbqkb1r/pp3ppp/4pn2/2pp4/4P3/3P2P1/PPPN1PBP/R1BQK1NR b KQkq -,rnbqkb1r/p4ppp/1p2pn2/2pp4/4P3/3P2P1/PPPN1PBP/R1BQK1NR w KQkq -,1
rnbqkb1r/pp3ppp/4pn2/2pp4/4P3/3P2P1/PPPN1P1P/R1BQKBNR w KQkq -,rnbqkb1r/pp3ppp/4pn2/2pp4/4P3/3P2P1/PPPN1PBP/R1BQK1NR b KQkq -,1
rnbqkb1r/pp3ppp/4pn2/2pp4/4P3/3P1NP1/PPPN1P1P/R1BQKB1R b KQkq -,rnbqkb1r/p4ppp/1p2pn2/2pp4/4P3/3P1NP1/PPPN1P1P/R1BQKB1R w KQkq -,1
rnbqkb1r/pp3ppp/4pn2/2pp4/4P3/3P1NP1/PPPN1P1P/R1BQKB1R b KQkq -,r1bqkb1r/pp3ppp/2n1pn2/2pp4/4P3/3P1NP1/PPPN1P1P/R1BQKB1R w KQkq -,1
rnbqkb1r/pp3ppp/4pn2/2pp4/3P4/3BPN2/PPP2PPP/RNBQK2R w KQkq -,rnbqkb1r/pp3ppp/4pn2/2pp4/3P4/2PBPN2/PP3PPP/RNBQK2R b KQkq -,1
rnbqkb1r/pp3ppp/4pn2/2pp4/3P4/2PBPN2/PP3PPP/RNBQK2R b KQkq -,r1bqkb1r/pp3ppp/2n1pn2/2pp4/3P4/2PBPN2/PP3PPP/RNBQK2R w KQkq -,1
rnbqkb1r/pp3ppp/4pn2/2pp4/3P1B2/2P1P3/PP3PPP/RN1QKBNR w KQkq -,rnbqkb1r/pp3ppp/4pn2/2pp4/3P1B2/2P1P3/PP1N1PPP/R2QKBNR b KQkq -,1
rnbqkb1r/pp3ppp/4pn2/2pp4/3P1B2/2P1P3/PP1N1PPP/R2QKBNR b KQkq -,r1bqkb1r/pp3ppp/2n1pn2/2pp4/3P1B2/2P1P3/PP1N1PPP/R2QKBNR w KQkq -,1
rnbqkb1r/pp3ppp/4pn2/2pp4/2PP4/6P1/PP2PPBP/RNBQK1NR w KQkq -,rnbqkb1r/pp3ppp/4pn2/2pP4/3P4/6P1/PP2PPBP/RNBQK1NR b KQkq -,1
rnbqkb1r/pp3ppp/4pn2/2pp4/2PP4/5NP1/PP1NPP1P/R1BQKB1R w KQkq -,rnbqkb1r/pp3ppp/4pn2/2pP4/3P4/5NP1/PP1NPP1P/R1BQKB1R b KQkq -,1
rnbqkb1r/pp3ppp/4pn2/2pp4/2PP4/4PN2/PP3PPP/RNBQKB1R w KQkq -,rnbqkb1r/pp3ppp/4pn2/2pP4/3P4/4PN2/PP3PPP/RNBQKB1R b KQkq -,1
rnbqkb1r/pp3ppp/4pn2/2pp4/2PP4/4PN2/PP1N1PPP/R1BQKB1R w KQkq -,rnbqkb1r/pp3ppp/4pn2/2pp4/2PP4/P3PN2/1P1N1PPP/R1BQKB1R b KQkq -,1
rnbqkb1r/pp3ppp/4pn2/2pp4/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq -,rnbqkb1r/pp3ppp/4pn2/2pp2B1/2PP4/2N2N2/PP2PPPP/R2QKB1R b KQkq -,1
rnbqkb1r/pp3ppp/4pn2/2pp4/2PP4/2N1PN2/PP3PPP/R1BQKB1R b KQkq -,rnbqkb1r/pp3ppp/4pn2/2p5/2pP4/2N1PN2/PP3PPP/R1BQKB1R w KQkq -,1
rnbqkb1r/pp3ppp/4pn2/2pp4/2PP4/2N1PN2/PP3PPP/R1BQKB1R b KQkq -,rnbqkb1r/1p3ppp/p3pn2/2pp4/2PP4/2N1PN2/PP3PPP/R1BQKB1R w KQkq -,1
rnbqkb1r/pp3ppp/4pn2/2pp2B1/3P4/4PN2/PPPN1PPP/R2QKB1R b KQkq -,r1bqkb1r/pp3ppp/2n1pn2/2pp2B1/3P4/4PN2/PPPN1PPP/R2QKB1R w KQkq -,1
rnbqkb1r/pp3ppp/4pn2/2pp2B1/2PP4/2N2N2/PP2PPPP/R2QKB1R b KQkq -,rnbqkb1r/pp3ppp/4pn2/3p2B1/2Pp4/2N2N2/PP2PPPP/R2QKB1R w KQkq -,1
rnbqkb1r/pp3ppp/4pn2/2pP4/8/2N2NP1/PP1PPP1P/R1BQKB1R b KQkq -,rnbqkb1r/pp3ppp/5n2/2pp4/8/2N2NP1/PP1PPP1P/R1BQKB1R w KQkq -,1
rnbqkb1r/pp3ppp/4pn2/2pP4/3P4/6P1/PP2PPBP/RNBQK1NR b KQkq -,rnbqkb1r/pp3ppp/4pn2/3P4/3p4/6P1/PP2PPBP/RNBQK1NR w KQkq -,1
rnbqkb1r/pp3ppp/4pn2/2pP4/3P4/5N2/PPPN1PPP/R1BQKB1R b KQkq -,rnbqkb1r/pp3ppp/4p3/2pn4/3P4/5N2/PPPN1PPP/R1BQKB1R w KQkq -,1
rnbqkb1r/pp3ppp/4pn2/2pP4/3P4/4PN2/PP3PPP/RNBQKB1R b KQkq -,rnbqkb1r/pp3ppp/5n2/2pp4/3P4/4PN2/PP3PPP/RNBQKB1R w KQkq -,1
rnbqkb1r/pp3ppp/4pn2/3P4/3p4/6P1/PP2PPBP/RNBQK1NR w KQkq -,rnbqkb1r/pp3ppp/4Pn2/8/3p4/6P1/PP2PPBP/RNBQK1NR b KQkq -,1
rnbqkb1r/pp3ppp/4pn2/3p4/2PP4/2N5/PP3PPP/R1BQKBNR w KQkq -,rnbqkb1r/pp3ppp/4pn2/2Pp4/3P4/2N5/PP3PPP/R1BQKBNR b KQkq -,1
rnbqkb1r/pp4pp/2pp1n2/4pp2/2P5/2N2NP1/PP1PPPBP/R1BQK2R w KQkq -,rnbqkb1r/pp4pp/2pp1n2/4pp2/2PP4/2N2NP1/PP2PPBP/R1BQK2R b KQkq -,1
rnbqkb1r/pp3ppp/4pn2/3p4/2PP4/2N5/PP3PPP/R1BQKBNR w KQkq -,rnbqkb1r/pp3ppp/4pn2/3P4/3P4/2N5/PP3PPP/R1BQKBNR b KQkq -,1
rnbqkb1r/pp4pp/2p1pn2/3p1p2/2PP4/6PN/PP2PPBP/RNBQK2R w KQkq -,rnbqkb1r/pp4pp/2p1pn2/3p1p2/2PP4/6PN/PPQ1PPBP/RNB1K2R b KQkq -,1
rnbqkb1r/pp4pp/2p1pn2/3p1p2/2PP4/6P1/PPQ1PPBP/RNB1K1NR w KQkq -,rnbqkb1r/pp4pp/2p1pn2/3p1p2/2PP4/6PN/PPQ1PPBP/RNB1K2R b KQkq -,1
rnbqkb1r/pp4pp/2p1pn2/3p1p2/2PP4/6P1/PPQ1PPBP/RNB1K1NR w KQkq -,rnbqkb1r/pp4pp/2p1pn2/3p1p2/2PP4/1P4P1/P1Q1PPBP/RNB1K1NR b KQkq -,1
rnbqkb1r/pp4pp/2p1pn2/3p1p2/2PP4/6P1/PP1NPPBP/R1BQK1NR w KQkq -,rnbqkb1r/pp4pp/2p1pn2/3p1p2/2PP4/6P1/PPQNPPBP/R1B1K1NR b KQkq -,1
rnbqkb1r/pp4pp/2p1pn2/3p1p2/2PP4/5NP1/PP1NPP1P/R1BQKB1R w KQkq -,rnbqkb1r/pp4pp/2p1pn2/3p1p2/2PP4/5NP1/PP1NPPBP/R1BQK2R b KQkq -,1
rnbqkb1r/pp4pp/2p1pn2/3p1p2/2PP4/2NBP3/PP3PPP/R1BQK1NR w KQkq -,rnbqkb1r/pp4pp/2p1pn2/3p1p2/2PP4/2NBP3/PP2NPPP/R1BQK2R b KQkq -,1
rnbqkb1r/pp4pp/2p1pn2/3p1p2/2PP1B2/5N2/PPQ1PPPP/RN2KB1R w KQkq -,rnbqkb1r/pp4pp/2p1pn2/3p1p2/2PP1B2/4PN2/PPQ2PPP/RN2KB1R b KQkq -,1
rnbqkb1r/pp4pp/2p1pn2/3p1p2/2P5/2N2NP1/PP1PPPBP/R1BQK2R w KQkq -,rnbqkb1r/pp4pp/2p1pn2/3p1p2/2P5/2N2NP1/PP1PPPBP/R1BQ1RK1 b kq -,1
rnbqkb1r/pp3ppp/5n2/2pp4/8/2N2NP1/PP1PPP1P/R1BQKB1R w KQkq -,rnbqkb1r/pp3ppp/5n2/2pp4/3P4/2N2NP1/PP2PP1P/R1BQKB1R b KQkq -,1
rnbqkb1r/pp3ppp/5n2/2pp4/3P4/4PN2/PP3PPP/RNBQKB1R w KQkq -,rnbqkb1r/pp3ppp/5n2/1Bpp4/3P4/4PN2/PP3PPP/RNBQK2R b KQkq -,1
rnbqkb1r/pp3ppp/5n2/2pp4/3P4/3B1N2/PPP2PPP/RNBQK2R w KQkq -,rnbqkb1r/pp3ppp/5n2/2pp4/3P4/3B1N2/PPP2PPP/RNBQ1RK1 b kq -,1
rnbqkb1r/pp3ppp/5n2/2pp4/3P4/2P2N2/PP3PPP/RNBQKB1R w KQkq -,rnbqkb1r/pp3ppp/5n2/2pp2B1/3P4/2P2N2/PP3PPP/RN1QKB1R b KQkq -,1
rnbqkb1r/pp3ppp/5n2/2pp4/3P4/2P2N2/PP3PPP/RNBQKB1R w KQkq -,rnbqkb1r/pp3ppp/5n2/1Bpp4/3P4/2P2N2/PP3PPP/RNBQK2R b KQkq -,1
rnbqkb1r/pp3ppp/5n2/2pp4/3P4/2N2N2/PPP2PPP/R1BQKB1R w KQkq -,rnbqkb1r/pp3ppp/5n2/1Bpp4/3P4/2N2N2/PPP2PPP/R1BQK2R b KQkq -,1
rnbqkb1r/pp3ppp/5n2/2pp4/3P4/2N2N2/PP2PPPP/R1BQKB1R w KQkq -,rnbqkb1r/pp3ppp/5n2/2pp2B1/3P4/2N2N2/PP2PPPP/R2QKB1R b KQkq -,1
rnbqkb1r/pp3ppp/5n2/1N1pp3/2P5/8/PP2PPPP/RNBQKB1R w KQkq -,rnbqkb1r/pp3ppp/5n2/1N1Pp3/8/8/PP2PPPP/RNBQKB1R b KQkq -,1
rnbqkb1r/pp3ppp/4pn2/3p4/3P4/2N2N2/PP2PPPP/R1BQKB1R w KQkq -,rnbqkb1r/pp3ppp/4pn2/3p4/3P1B2/2N2N2/PP2PPPP/R2QKB1R b KQkq -,1
rnbqkb1r/pp3ppp/4pn2/3p4/3NP3/8/PPPN1PPP/R1BQKB1R w KQkq -,rnbqkb1r/pp3ppp/4pn2/3P4/3N4/8/PPPN1PPP/R1BQKB1R b KQkq -,1
rnbqkb1r/pp3ppp/4pn2/3p4/3N4/6P1/PPP1PPBP/RNBQK2R w KQkq -,rnbqkb1r/pp3ppp/4pn2/3p4/3N4/6P1/PPP1PPBP/RNBQ1RK1 b kq -,1
rnbqkb1r/pp3ppp/4pn2/3p4/2Pp4/5NP1/PP2PPBP/RNBQK2R w KQkq -,rnbqkb1r/pp3ppp/4pn2/3p4/2Pp4/5NP1/PP2PPBP/RNBQ1RK1 b kq -,1
rnbqkb1r/pp3ppp/4pn2/3p4/2PP4/5N2/PP3PPP/RNBQKB1R w KQkq -,rnbqkb1r/pp3ppp/4pn2/3p4/2PP4/2N2N2/PP3PPP/R1BQKB1R b KQkq -,1
rnbqkb1r/pp3ppp/4pn2/2p5/2pP4/5NP1/PP2PPBP/RNBQK2R w KQkq -,rnbqkb1r/pp3ppp/4pn2/2p5/Q1pP4/5NP1/PP2PPBP/RNB1K2R b KQkq -,1
